industry_index,industry_id,composition_basis_evidence_tier,period,metric_id,weight_basis,coverage,suppressed,observed,predicted_from_occupation_mix,occupation_adjusted_industry_context_residual
16,health-care-and-social-assistance,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.3531334195,1.6346024147047917,-0.28146899520479174
17,arts-entertainment-and-recreation,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,2.0868567047,1.711087020766196,0.3757696839338043
18,accommodation-and-food-services,primary_stable,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,0.81426626,1.3370786505218684,-0.5228123905218683
19,other-services-except-public-administration,limited,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,1.0076394235,1.5178357301751897,-0.5101963066751898
20,public-administration,excluded,2025-Q2,reported_time_savings_share,CPS actual main-job hour share,1.0,False,0.320739093,1.503930757225935,-1.183191664225935
1,agriculture-forestry-fishing-and-hunting,excluded,2026-Q2,adoption_work,CPS worker share,1.0,False,34.7706769906,48.071838521888814,-13.301161531288813
2,mining-quarrying-and-oil-and-gas-extraction,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,26.0994565394,45.10206949483012,-19.00261295543012
3,construction,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,43.5424833398,42.47087369303039,1.071609646769609
4,manufacturing,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,47.6586710999,46.201246983733725,1.4574241161662727
5,wholesale-trade,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,62.1165459402,44.22460447362572,17.89194146657428
6,retail-trade,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,39.4512265617,42.266510578449925,-2.815284016749928
7,transportation-and-warehousing,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,25.1041845591,36.33939479623745,-11.235210237137451
8,utilities,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,56.4271540336,48.14640996677337,8.280744066826628
9,information,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,82.1926036484,54.83846599017874,27.354137658221255
10,finance-and-insurance,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,67.33240401,56.48277782483197,10.849626185168034
11,real-estate-and-rental-and-leasing,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,56.4928358382,51.112372597632096,5.380463240567906
12,professional-scientific-and-technical-services,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,69.5429443332,59.39066751680626,10.152276816393737
13,management-of-companies-and-enterprises,sensitivity_unstable,2026-Q2,adoption_work,CPS worker share,1.0,False,64.4594343994,57.62830617712332,6.831128222276675
14,administrative-and-support-and-waste-management-services,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,40.4601157323,32.67222610935989,7.7878896229401064
15,educational-services,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,52.5851862896,53.4270076459201,-0.8418213563200965
16,health-care-and-social-assistance,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,37.1653034619,42.13127498052902,-4.9659715186290185
17,arts-entertainment-and-recreation,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,31.9992080832,42.28774254361696,-10.288534460416958
18,accommodation-and-food-services,primary_stable,2026-Q2,adoption_work,CPS worker share,1.0,False,30.52520052,37.611777229015516,-7.086576709015517
19,other-services-except-public-administration,limited,2026-Q2,adoption_work,CPS worker share,1.0,False,24.6784134748,38.03438996726626,-13.355976492466258
20,public-administration,excluded,2026-Q2,adoption_work,CPS worker share,1.0,False,23.3546710364,42.43079136228233,-19.07612032588233
1,agriculture-forestry-fishing-and-hunting,excluded,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,5.863539399,7.389485856043925,-1.5259464570439247
2,mining-quarrying-and-oil-and-gas-extraction,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,3.8073849106,6.162254756363232,-2.354869845763232
3,construction,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,1.7602016509,5.725748658359377,-3.965547007459377
4,manufacturing,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,5.4632646397,6.554788506699527,-1.0915238669995269
5,wholesale-trade,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,6.7084275959,6.540501155283943,0.167926440616057
6,retail-trade,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,5.5901659209,6.197493766264064,-0.6073278453640647
7,transportation-and-warehousing,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,5.8435236716,4.767821172915858,1.0757024986841417
8,utilities,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,3.1412439418,6.946505118086357,-3.805261176286357
9,information,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,16.0321649686,8.584096214183287,7.448068754416713
10,finance-and-insurance,primary_stable,2026-Q2,assisted_hours_share,CPS actual main-job hour share,1.0,False,9.6694506578,8.959200269217016,0.7102503885829847
